Suite,Sample,Pluton,Author,SiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,Loi+,H2O,Total,Cr,Ni,Co,Sc,V,Cu,Pb,Zn,Cd,Sn,W,Mo,As,Rb,Cs,Ba,Sr,Ga,Ta,Nb,Hf,Zr,Y,Th,U,Be,Ag,Au,Bi,Cd,Hg,Sb,Se,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,ETR
Shos,25/,SJEspinharas,[12],54.1,15.8,11.46,10.31,0.13,2.9,5.74,3.24,2.72,2.12,0.53,,0.7,99.44,,,,,,,,,,,,,,54,,1289,632,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,81/A,SJEspinharas,[12],54.3,17.9,8.1,7.29,0.11,4.81,7.22,3.24,2.09,0.56,0.18,,0.13,98.64,,,,,,,,,,,,,,87,,1477,455,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,33/A,SJEspinharas,[12],55.8,14.6,7.66,6.89,0.13,6.54,6.17,4,2.4,1.05,0.28,,0.15,98.78,,,,,,,,,,,,,,67,,1100,814,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,113/,SJEspinharas,[12],55.8,16.4,8.68,7.81,0.15,3.52,5.95,3.45,3.41,1.29,0.4,,0.48,99.53,,,,,,,,,,,,,,86,,1535,659,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,20/,SJEspinharas,[12],55.9,16.5,9.01,8.11,0.13,2.79,5.24,3.59,4.18,0.76,0.48,,0.4,98.98,,,,,,,,,,,,,,107,,1683,662,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,111/C,SJEspinharas,[12],56.2,14,11.33,10.2,0.2,2.59,5.93,2.28,3.07,2.13,0.83,,0.26,98.82,,,,,,,,,,,,,,75,,2047,402,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,162/,SJEspinharas,[12],56.2,17,9,8.1,0.16,2.45,5.88,4.21,2.41,1.71,0.49,,0.45,99.96,,,,,,,,,,,,,,69,,,721,,,,,505,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,ED59,SJSabugi,[14],48.32,16.21,14.64,13.17,0.1,4.42,8.89,3.11,1.21,1.64,0.24,0.87,,99.65,,14,68,24,652,87,,85,,,,,,29,,562,930,20,,5,,89,15,4,,,,,,,,,,21.88,47.96,,20.86,4.14,1.26,3.29,,2.54,,1.3,,1.08,0.16,104.47
Shos,ED66A,SJSabugi,[14],52.12,14.66,8.58,7.72,0.13,7.75,7.05,2.87,2.27,1.27,0.4,1.6,,98.7,,156,17,21,163,10,,185,,,,,,61,,1142,653,5,,11,,185,15,5,,,,,,,,,,39.73,79.7,,35.17,6.34,1.52,4.59,,3.14,,1.66,,1.23,0.21,173.29
Shos,ED151B,SJSabugi,[14],52.78,9.83,9.6,8.64,0.17,11.94,6.4,0.56,4.92,0.98,0.81,1.11,,99.1,,401,42,22,137,44,,108,,,,,,117,,4965,412,11,,12,,242,31,5,,,,,,,,,,51.17,123.03,,51.91,10.57,2.28,7.71,,5.35,,2.67,,2.21,0.31,257.21
Shos,ED65,SJSabugi,[14],53.5,16.06,8.48,7.63,0.12,5.37,6.58,3.39,2.54,1.2,0.51,0.78,,98.53,,889,20,19,158,46,,89,,,,,,81,,1475,870,7,,8,,145,20,6,,,,,,,,,,43.2,91.09,,40.33,7.83,1.82,5.53,,4.14,,2.17,,1.59,0,197.7
Shos,ED153,SJSabugi,[14],53.95,16.63,8.64,7.78,0.11,4.58,6.85,3.6,2.15,1.54,0.59,0.87,,99.51,,95,27,19,175,58,,90,,,,,,45,,1359,889,18,,15,,286,23,4,,,,,,,,,,44.7,108.54,,39.14,7.77,2.35,6.22,,3.86,,2.03,,1.63,0.25,216.49
Shos,A2B,SJSabugi,[14],55.59,16.21,9.33,8.4,0.14,2.97,5.15,3.72,2.87,1.58,0.56,0.55,,98.67,,33,13,19,118,30,,115,,,,,,94,,1920,651,12,,17,,437,28,6,,,,,,,,,,52.44,109.55,,51.54,9.75,2.55,7.26,,5.53,,2.97,,2.45,0.52,244.56
Shos,ED63,SJSabugi,[14],56.82,16.85,7.08,6.37,0.1,3.77,5.72,3.72,2.83,1.35,0.48,0.77,,99.49,,81,20,14,164,50,,77,,,,,,83,,1705,830,25,,18,,190,19,5,,,,,,,,,,42.85,90.33,,39.99,7.43,1.79,5.41,,3.84,,2.04,,1.68,,195.36
Shos,ED151A,SJSabugi,[14],57.57,15.19,7.91,7.12,0.11,4.4,5.66,3.08,2.95,0.46,1.04,0.99,,99.36,,99,53,23,149,27,,103,,,,,,73,,2586,633,15,,9,,284,26,5,,,,,,,,,,33.57,73.6,,33.59,7.3,2.59,6,,4.53,,2.2,,1.81,0.25,165.44
Shos,ED66B,SJSabugi,[14],58.29,15.63,7.34,6.61,0.11,4.07,5.42,3.18,2.99,1.08,0.46,0.78,,99.35,,52,28,18,149,48,,81,,,,,,58,,2048,915,5,,5,,247,24,5,,,,,,,,,,40.87,91.85,,42.89,8.61,1.91,6.22,,4.8,,2.49,,2,0.35,201.99
Shos,F3F,SJSabugi,[14],59.02,16.67,7.58,6.82,0.13,2.29,4.5,3.79,3.59,1.21,0.44,0.68,,99.9,,28,12,16,89,26,,100,,,,,,84,,2952,689,20,,15,,479,28,8,,,,,,,,,,51.91,106.45,,43.42,8.32,2.97,6.43,,4.66,,2.46,,2.2,0.37,229.19
Shos,F3A,SJSabugi,[14],59.2,16.82,7.29,6.56,0.13,2.33,4.44,3.79,3.72,1.18,0.43,0.61,,99.94,,35,10,18,101,26,,97,,,,,,95,,3492,960,23,,11,,495,21,7,,,,,,,,,,54.88,104.01,,39.76,7.1,2.97,5.44,,3.44,,1.78,,1.55,0.29,221.22
Shos,F3C,SJSabugi,[14],60,16.6,6.58,5.92,0.08,2.37,4.41,3.87,3.27,1.2,0.43,0.57,,99.38,,31,10,12,86,26,,89,,,,,,93,,2489,796,22,,11,,181,16,6,,,,,,,,,,26.37,55.92,,24.26,4.59,1.96,3.67,,2.59,,1.37,,1.28,0.16,122.17
Shos,ED61,SJSabugi,[14],61.59,16.13,5.65,5.08,0.08,2.68,4.07,3.62,4.09,1.04,0.38,0.43,,99.76,,57,13,12,119,37,,66,,,,,,105,,1607,601,21,,14,,305,20,7,,,,,,,,,,53.3,102.21,,42.16,7.62,1.65,5.5,,3.97,,2.12,,1.69,0.29,220.51
Shos,ED60,SJSabugi,[14],62.07,15.58,5.23,4.71,0.07,2.43,3.97,3.55,4.1,0.93,0.34,0.71,,98.98,,57,12,11,103,38,,62,,,,,,125,,1399,533,20,,13,,306,20,13,,,,,,,,,,63.12,122.13,,47.2,8.09,1.49,5.71,,4.1,,2.17,,1.73,0.3,256.04
Shos,ED148,SJSabugi,[14],62.2,14.91,7,6.3,0.13,2.08,3.87,3.27,4.19,0.94,0.4,0.63,,99.62,,27,11,21,71,32,,97,,,,,,86,,2517,520,13,,18,,398,40,< 5,,,,,,,,,,48.46,105.09,,51.15,11,2.85,8.94,,7.23,,3.43,,2.69,0.35,241.19
Shos,ED64,SJSabugi,[14],63.59,15.61,6.53,5.88,0.14,1.39,3.04,3.67,3.25,0.97,0.32,0.78,,99.29,,8,< 5,12,37,35,,103,,,,,,92,,2252,437,< 5,,22,,611,13,< 5,,,,,,,,,,18.39,38.86,,20.86,4.51,2.17,3.55,,2.65,,1.41,,1.06,0.24,93.7
Shos,ED62,SJSabugi,[14],63.74,14.92,4.79,4.31,0.07,2.16,3.47,3.12,4.8,0.79,0.29,0.75,,98.9,,46,14,12,97,64,,54,,,,,,109,,1996,556,15,,17,,252,28,< 5,,,,,,,,,,40.82,87.92,,40.54,8.12,4.66,5.94,,5.03,,2.8,,2.48,0.47,198.78
Shos,A1E,SJSabugi,[14],65.28,15.56,5.33,4.8,0.08,1.29,2.97,3.58,3.4,0.83,0.3,0.59,,99.21,,19,10,11,60,20,,84,,,,,,87,,1766,416,24,,21,,387,27,< 5,,,,,,,,,,25.52,54.66,,28.4,6.96,2.1,6.56,,5.06,,2.08,,1.41,0.19,132.94
Shos,A1C,SJSabugi,[14],65.31,15.26,5.29,4.76,0.08,1.37,2.91,3.54,3.59,0.85,0.32,0.71,,99.23,,15,6,11,61,23,,82,,,,,,89,,1869,392,19,,19,,348,15,< 5,,,,,,,,,,41.5,82.52,,37.12,6.6,1.77,4.69,,3.22,,1.6,,0.91,0.23,180.16
Shos,ED122B,Acari,[14],52.42,16.83,8.05,7.24,0.08,4.45,6.24,3.5,4.45,1.52,0.73,1.06,,99.33,,68,23,16,140,52,,,,,,,,116,,2385,928,18,,30,,349,19,16,,,,,,,,,,101.64,183.67,,63.02,9.39,2.31,6.33,,3.6,,1.67,,1.26,0.19,373.08
Shos,ED123,Acari,[14],53.67,16.88,8.21,7.39,0.08,3.8,5.9,3.62,4.37,1.43,0.68,0.71,,99.35,,51,22,15,128,49,,89,,,,,,113,,2219,824,17,,28,,428,22,16,,,,,,,,,,96.62,186.31,,62.78,9.66,2.29,6.84,,4.06,,1.92,,1.53,0.2,372.21
Shos,AC3B,Acari,[14],53.77,16.33,7.31,6.58,0.11,5.82,8.19,3.33,2.43,1.01,0.34,1.02,,99.66,,97,31,21,131,42,,65,,,,,,67,,1113,707,12,,13,,180,12,9,,,,,,,,,,36.5,24.5,,30.84,5.39,1.18,3.55,,2.47,,1.28,,0.95,0.17,106.83
Shos,ED122A,Acari,[14],54.6,17.35,7.69,6.92,0.08,2.79,5.44,3.72,4.39,1.6,0.73,0.99,,99.38,,18,16,12,154,45,,,,,,,,113,,2697,805,18,,24,,203,17,9,,,,,,,,,,62.48,123.54,,47.03,7.45,2.11,5.15,,3.09,,1.43,,1.09,0.13,253.5
Shos,AC4A,Acari,[14],55.44,18.03,6.99,6.29,0.08,2.29,4.22,3.84,5.8,1.37,0.63,0.82,,99.51,,20,16,11,95,26,,83,,,,,,145,,2788,981,26,,34,,533,27,21,,,,,,,,,,156.48,278.51,,83.36,13.59,3.36,10.03,,4.62,,2.36,,1.72,,554.03
Shos,AC4B,Acari,[14],55.77,17.96,6.46,5.81,0.08,2.25,4.19,3.9,5.89,1.23,0.59,0.97,,99.29,,8,14,10,66,26,,,,,,,,140,,2663,899,5,,27,,478,15,13,,,,,,,,,,89.72,172.64,,62.93,9.62,2.02,5.57,,3.25,,1.6,,1.12,,348.47
Shos,AC5E,Acari,[14],58.35,16.57,6.08,5.47,0.07,2.57,4.5,3.66,4.44,0.98,0.44,0.92,,98.58,,31,20,10,91,30,,,,,,,,112,,2019,665,5,,16,,385,14,13,,,,,,,,,,87.88,158.35,,54.52,8.51,1.61,5.17,,3.07,,1.52,,1.12,0.14,321.89
